AHLR ,40.8867,32.7735,31,1.7,11,0.5,7,2,3
ALTB ,28.74,41.09,43,1.1,5,0.4,5,3,0
AOS ,39.1703,23.88,52,1.5,8,0.1,7,3,1
AYDN ,37.6608,27.8792,-19,2,11,0.7,15,2,4
BCK ,37.461,30.5877,-34,1.8,28,0.4,24,5,10
BGKT ,41.181,28.773,11,2.9,10,0.6,22,1,3
BLKV ,40.8613,32.7517,25,2.1,9,0.2,2,1,0
BODT ,37.0622,27.3103,-9,1.4,36,0.8,116,10,55
BOLV ,38.7138,30.9502,43,1.8,12,0.4,14,3,0
BOZX ,40.534,28.782,44,0.9,0,0,3,1,2
BUYB ,40.852,29.118,52,1.6,7,0.2,9,3,3
BYDR ,40.8237,32.7738,67,1.6,13,0.9,3,3,0
BZK ,41.96,34.0035,39,1.3,9,0.5,44,1,38
CANB ,40.0167,27.0625,23,1.7,5,0.5,7,3,1
CDAG ,39.6237,34.3718,67,1,11,0,6,2,1
CETI ,37.003,28.307,50,1.3,16,0.4,11,1,3
CHBY ,38.5823,32.8902,32,1.2,20,0.3,7,3,0
CLDR ,39.144,43.9172,31,0.9,35,0.3,28,8,13
CMHB ,40.012,27.97,16,1.2,3,0.2,3,1,0
CMLK ,40.965,32.7937,65,2.3,4,0.6,5,2,2
CRAR ,44.0033,23.0008,-39,0.9,17,0.3,15,1,1
CTKS ,41.2364,28.5066,13,2,12,0.8,19,1,0
CTYL ,41.475,28.2891,9,2,13,0.9,10,2,1
CUKT ,37.2473,43.6077,71,0.9,18,0.5,29,2,12
DIKM ,41.6497,35.2578,21,0.8,29,0.2,34,1,23
E08 ,39.8969,30.4047,58,1.2,11,0.6,7,3,1
E13 ,38.3603,30.7144,37,1.6,20,0.5,3,3,0
E17 ,37.3208,30.7133,-22,1.7,10,1.1,8,3,1
E18 ,37.1631,30.6811,-59,0.9,4,0,5,2,2
E23 ,36.3669,30.43,-30,1.2,12,0.5,8,3,0
EPOS ,41.5035,42.7279,42,0.8,0,0,3,1,2
ESPY ,40.9167,38.7273,12,1.1,17,0.6,7,3,1
GDZ ,39.0888,29.4812,28,0.6,12,0.1,10,2,4
GEDZ ,39.0445,29.4105,-2,1.8,0,0,3,1,0
GEVA ,38.3122,43.0587,54,1,1,0,2,2,0
GLHS ,37.156,29.4983,-7,1.1,15,0.2,5,1,2
GNI ,40.1495,44.7413,76,1.1,21,0.2,18,1,11
GONE ,40.047,27.686,19,1.1,32,0.4,20,5,8
GURO ,38.5509,42.0322,43,1.1,8,0.1,8,1,4
GVD ,34.8392,24.0873,48,1.5,30,0.4,16,2,9
GYTE ,40.8123,29.3485,64,1.7,0,0,3,1,2
HAKT ,37.5578,43.7072,65,1.9,6,0.4,5,3,2
HDMB ,36.964,32.486,48,1,30,0.5,65,3,43
HNZ ,37.7495,29.2696,-53,1.8,11,0.6,5,2,0
HORT ,40.5978,23.0996,38,1.3,10,0.7,18,3,9
HRTX ,40.8217,29.668,39,1.4,30,0.4,49,25,4
IDI ,35.288,24.89,-18,0.9,25,0.2,17,1,12
ILGA ,41.0522,33.7165,52,1.6,8,0.3,8,3,0
ILIC ,39.452,38.568,47,1.2,9,0.2,11,2,3
INL ,36.1289,32.5501,32,0.9,29,0.4,77,27,33
JMB ,42.4667,26.5833,-20,1.6,9,0.5,5,3,1
KAMT ,39.3692,33.7127,69,1.5,2,0.3,7,1,2
KARN ,35.4019,23.9174,10,2.1,11,1.1,14,4,5
KDZE ,41.3132,31.443,28,1.6,28,0.5,22,12,4
KEMA ,39.2688,38.4932,15,2.2,7,0.1,11,3,1
KHAL ,38.3703,29.4917,17,1.3,28,0.4,15,6,0
KIZT ,38.88,31.88,23,1.3,5,0.2,7,2,3
KLYT ,41.253,29.042,18,1.3,29,0.4,35,9,15
KNT ,41.1619,22.8981,5,1.4,4,0.9,9,2,5
KRNZ ,40.9093,32.7847,54,2.3,7,0.4,4,2,1
KSDI ,33.192,35.659,9,1.5,0,0.2,5,3,2
KURC ,41.8456,32.743,48,1.1,8,0.6,4,2,0
LAST ,35.1611,25.4786,-14,0.8,50,0.6,64,6,34
LEF ,35.1118,32.8433,19,1.6,31,1.1,103,13,55
LFK ,35.2832,33.5337,-5,1.2,43,0.5,54,9,35
LIT ,40.1003,22.4893,-65,1.9,27,0.6,13,2,1
LKD ,38.7075,20.6505,39,2.1,14,0.3,3,1,0
NEST ,40.4147,21.0489,10,1.5,37,1.1,19,7,10
NIS1 ,36.6023,27.1782,24,0.9,11,0.2,14,2,9
PAIG ,39.9272,23.6797,-14,0.9,44,0.6,65,23,15
PASA ,40.8693,32.624,48,2.2,15,0.6,5,3,1
PLD ,42.1048,24.7032,19,2.3,8,0.7,5,1,2
PTK ,38.8923,39.3923,32,1.8,15,0.6,20,2,6
RSDY ,40.3972,37.3273,55,2.1,24,0.9,26,1,7
SANT ,36.371,25.459,22,1.3,19,0.5,24,3,10
SAUV ,40.7402,30.3272,35,2.1,30,0.7,9,1,0
SEDF ,40.8497,29.1442,53,1.9,0,0,4,1,3
SEMD ,37.3473,44.5208,-83,0.8,0,0,2,1,1
SERE ,38.9463,33.564,34,1.8,11,0.6,9,3,0
SIRT ,37.501,42.4392,39,1.3,22,0.6,7,2,4
SIVA ,35.0175,24.81,14,1.3,15,0.4,20,1,9
SOH ,40.8206,23.3556,-8,0.7,32,0.2,21,3,8
SRS ,41.1086,23.5846,25,1.6,27,0.3,13,3,5
SULT ,38.1988,33.5157,25,1,30,0.5,49,6,23
SUTC ,37.4755,30.9975,-38,1.5,15,0.8,16,9,2
SVAN ,38.1512,41.1985,49,1.1,22,0.6,15,2,2
TAHT ,36.376,36.185,35,0.7,16,0.1,5,1,2
THE ,40.6319,22.9628,-73,0.7,18,0.3,17,3,1
TKMK ,40.9298,32.773,53,2.2,9,0.9,7,5,1
TOKT ,40.3203,36.5448,66,1.3,9,0.3,15,1,2
TRIZ ,38.37,22.07,-21,1.1,32,0.6,61,10,34
TRNX ,40.5,27.27,36,1.3,15,0.6,8,1,0
VANB ,38.595,43.3888,49,1,33,0.4,32,10,5
VRI ,45.8665,26.7277,-19,1.4,28,0.7,9,4,2
VRTB ,39.16,41.456,34,1.8,42,0.6,15,9,0
VTS ,42.618,23.235,-31,0.7,4,0.3,10,3,5
W04 ,39.918,28.086,19,1.9,3,0.1,3,2,0
W05 ,39.803,27.963,26,1.4,0,0,2,1,1
W07 ,39.296,27.921,29,1,23,0.2,4,3,1
W14 ,38.301,28.049,6,1.1,8,0.2,3,1,1
XOR ,39.3661,23.1919,-56,1.2,43,0.4,41,4,31
YER ,37.1362,28.2858,17,1.3,42,1,86,10,53
YESY ,37.78,33.74,48,2.5,5,0.1,5,1,0
YLV ,40.5667,29.3728,37,1.7,18,0.5,6,1,1