Network,Station,lat,lon,elevation
AM,BAUR,41.115,43.8036,2110
AM,ARZA,40.4977,44.5903,1704
AM,TSAP,40.4002,45.4811,1998
AM,LICH,40.5077,44.9319,1967
AM,ALAV,41.1215,44.7543,644
AM,ZARN,40.4821,43.7842,1668
AM,NAVR,40.8664,45.3512,1467
AM,BYUR,40.3298,44.2696,1402
AM,GERK,40.2567,45.1368,2114
AM,KECH,39.8031,45.6645,1990
AM,VAND,40.1079,43.8136,1031
AM,MAGY,41.0353,44.4009,1410
AM,SHEN,40.7972,44.1905,1700
II,KIV,43.96,42.69,1054
IU,GNI,40.05,44.72,1609
GO,AKH,41.41,43.4929,1708
GO,DGRG,41.4507,45.3728,690
GO,ONI,42.5905,43.4525,810
GO,TBLG,41.73,44.74,510
GO,BGD,41.2645,43.5986,1978
TG,ABST,41.7554,42.8135,1590
TG,AZMN,41.3172,43.2861,1755
TG,BATM,41.604,41.6936,298
TG,BKRG,41.7596,43.5223,1655
TG,BURN,41.6592,43.729,1655
TG,BRNG,41.6592,43.749,2019
TG,DDFL,41.4458,46.1183,1342
TG,DMNI,41.3291,44.1902,1256
TG,GANZ,41.3537,43.7416,2086
TG,KZRT,41.3866,44.3987,723
TG,LGD,41.8343,46.2422,406
TG,TKBL,42.3509,42.9943,603
AB,GANJ,40.6519,46.3297,560
AB,QZX,41.048,45.372,574
AB,ZKT,41.64,46.63,508
GO,CHVG,42.71833,42.08411,390
GO,GUDG,42.4646,44.4772,2012
GO,SEAG,41.763599,44.8036,607
GO,TRLG,41.5392,44.101799,1600
TG,AMBR,42.5155,43.1368,614
TG,GANZ,41.3537,43.7416,2086
TG,GUDA,42.4646,44.4772,2012
TG,KHVA,42.1902,43.5236,830
TG,TRLT,41.55,44.12,100
TG,URAV,42.6437,43.2899,870